BaseMean,BaseStd,MixParams,svc__C,svc__kernel
0.505,0.215580611373101,-0.30000000000000004,0.125,sigmoid
0.505,0.215580611373101,-0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,-0.2,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.3,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.2,0.125,sigmoid
0.505,0.215580611373101,0.3,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.3,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.6,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,-0.8,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.30000000000000004,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.30000000000000004,0.125,sigmoid
0.505,0.215580611373101,-0.7000000000000001,0.125,sigmoid
0.505,0.215580611373101,-0.5,0.125,sigmoid
0.505,0.215580611373101,-0.30000000000000004,0.125,sigmoid
0.505,0.215580611373101,-0.1,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,-0.7000000000000001,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,-0.30000000000000004,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.4,0.125,sigmoid
0.505,0.215580611373101,0.4,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.4,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.4,0.125,sigmoid
0.505,0.215580611373101,0.4,0.125,sigmoid
0.505,0.215580611373101,0.4,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.4,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.4,0.125,sigmoid
0.505,0.215580611373101,0.4,0.125,sigmoid
0.505,0.215580611373101,0.4,0.125,sigmoid
0.505,0.215580611373101,0.4,0.125,sigmoid
0.505,0.215580611373101,0.4,0.125,sigmoid
0.505,0.215580611373101,0.20000000000000007,0.125,sigmoid
0.505,0.215580611373101,0.4,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.20000000000000007,0.125,sigmoid
0.505,0.215580611373101,0.20000000000000007,0.125,sigmoid
0.505,0.215580611373101,0.20000000000000007,0.125,sigmoid
0.505,0.215580611373101,0.20000000000000007,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.6000000000000001,0.125,sigmoid
0.505,0.215580611373101,0.6000000000000001,0.125,sigmoid
0.505,0.215580611373101,0.20000000000000007,0.125,sigmoid
0.505,0.215580611373101,0.6000000000000001,0.125,sigmoid
0.505,0.215580611373101,0.20000000000000007,0.125,sigmoid
0.505,0.215580611373101,0.6000000000000001,0.125,sigmoid
0.505,0.215580611373101,0.4,0.125,sigmoid
0.505,0.215580611373101,0.4,0.125,sigmoid
0.505,0.215580611373101,0.6000000000000001,0.125,sigmoid
0.505,0.215580611373101,0.6000000000000001,0.125,sigmoid
0.505,0.215580611373101,0.20000000000000007,0.125,sigmoid
0.505,0.215580611373101,-0.30000000000000004,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.4,0.125,sigmoid
0.505,0.215580611373101,-0.30000000000000004,0.125,sigmoid
0.505,0.215580611373101,-0.30000000000000004,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.30000000000000004,0.125,sigmoid
0.505,0.215580611373101,-0.1,0.125,sigmoid
0.505,0.215580611373101,-0.30000000000000004,0.125,sigmoid
0.505,0.215580611373101,-0.6,0.125,sigmoid
0.505,0.215580611373101,-0.6,0.125,sigmoid
0.505,0.215580611373101,-0.19999999999999998,0.125,sigmoid
0.505,0.215580611373101,-0.30000000000000004,0.125,sigmoid
0.505,0.215580611373101,-0.30000000000000004,0.125,sigmoid
0.505,0.215580611373101,-0.30000000000000004,0.125,sigmoid
0.505,0.215580611373101,-0.30000000000000004,0.125,sigmoid
0.505,0.215580611373101,-0.30000000000000004,0.125,sigmoid
0.505,0.215580611373101,-0.30000000000000004,0.125,sigmoid
0.505,0.215580611373101,-0.30000000000000004,0.125,sigmoid
0.505,0.215580611373101,-0.6,0.125,sigmoid
